Y,TRANSPORTE,AGS,BC,BCS,CAM,COAH,COL,CHIS,CHIH,CDMX,DUR,GUA,GUE,HID,JAL,EDOMEX,MICH,MOR,NAY,NL,OAX,PUE,QUE,QRO,SLP,SIN,SON,TAB,TAMPS,TLAX,VER,YUC,ZAC
1987,Autos,42163,369229,36020,24528,161333,50095,48154,311993,1388280,53753,126670,60468,57490,358600,549177,114251,124645,25669,272581,38952,189161,40102,17745,62573,95847,122113,45219,225812,24247,197407,72329,29622
1988,Autos,42918,370704,36451,25257,166003,51092,50587,316352,1508239,55091,133310,64572,59608,375829,571676,119612,122946,26583,283315,42649,196668,41818,18902,65129,98673,126998,50562,232083,24942,205336,80253,33577
1989,Autos,45057,399191,38052,30533,201542,51293,57405,326457,1538193,57564,143549,67568,76020,400895,659721,127891,128272,27320,300670,48316,214089,50184,22342,71707,104711,139509,56440,241463,29396,220286,86905,40991
1990,Autos,58859,400927,41589,33589,212833,50293,66546,349464,1768683,61875,158016,71865,78757,426235,707268,140063,134020,28161,320307,53579,228538,57874,29699,80803,110682,156823,60126,255706,30659,240640,93282,47789
1991,Autos,64744,441018,45747,36947,234115,55322,73199,351763,1727836,68060,173816,79050,86631,468857,768037,154067,147420,30976,352345,58936,251390,63660,32668,88881,121750,172503,66137,281275,33679,264703,102609,52567
1992,Autos,63500,435934,45818,41178,240737,56113,76320,353014,2019494,69580,184587,81810,79311,491922,793913,161209,151616,32033,370786,60761,262294,66226,37546,93807,125522,180054,69196,287992,34784,273093,105814,53214
1993,Autos,64950,428201,46411,48907,292459,29304,58715,304204,2314499,76621,222944,84760,106039,596290,684347,169032,119520,29511,440915,63823,217211,81461,48974,97424,148628,183561,80968,232119,31951,262406,95086,54710
1994,Autos,81993,429875,47385,50372,198179,35306,63728,354556,1814187,75350,235120,87119,115185,638157,336731,199350,147077,34599,461451,63990,327724,101280,35229,114376,155763,185811,84301,263985,24343,292757,109278,53175
1995,Autos,88435,438407,61695,36626,208546,37093,77779,393623,1919264,87329,249073,152580,137420,608765,402548,202900,152765,38801,467797,58876,248138,90391,45960,122730,169019,135340,90511,304299,33397,235505,118897,54995
1996,Autos,94756,475170,67788,37863,210386,66484,85564,432390,1865359,90083,255885,155504,152210,570580,528046,212104,164251,44093,484151,62436,260723,164493,79485,128756,136959,148304,80426,327039,34532,262537,92981,59526
1997,Autos,94824,519888,66972,40979,226333,38799,99849,476927,1896403,95897,258600,169116,162362,641904,623846,242857,155736,45889,512157,77696,277914,118010,85698,136528,132948,262547,87520,360152,37779,298720,90220,67925
1998,Autos,102984,449521,102644,29793,217716,39884,106267,532676,2304627,102789,245897,164804,178719,659648,759376,267443,160407,53548,550284,80060,273802,133746,54936,151173,150619,144158,93237,414963,45079,308659,130865,75885
1999,Autos,106762,499998,100024,39293,227814,32341,109863,479082,2386039,106657,295279,196691,190845,652389,784521,296304,155949,57269,596114,93854,288387,131341,70666,161770,180220,213286,101011,431938,48205,340057,129412,79415
2000,Autos,116241,577672,113226,44451,211981,35755,117034,469932,2308255,73701,295890,193314,202412,730603,933583,315064,156456,63747,650134,97101,330517,145322,94871,174494,186331,288643,106608,474378,54121,376475,152662,85205
2001,Autos,136240,672760,126519,49731,300568,54705,125273,617720,2233666,124590,354275,189161,235898,783455,1028663,331170,116090,69945,787128,111833,364471,168883,92456,221079,268801,345948,118268,558811,56468,414311,163728,129368
2002,Autos,145820,763803,144141,56951,380825,60515,135791,622990,2162180,128815,387733,216102,254223,946458,935680,360847,139097,78944,855046,137895,372952,186813,80108,236322,300696,420879,125237,786638,64588,457404,180950,128467
2003,Autos,159314,875781,165475,64485,363882,64959,155118,619349,2093708,151214,409355,247229,275187,1014350,1080754,439640,162407,74809,915824,141372,384334,200124,75030,248471,255499,447322,126944,644296,62294,496324,197740,129459
2004,Autos,179103,768078,188355,77259,381762,69980,148178,581940,2384533,158158,442678,298795,300466,1081386,998407,444862,174085,90291,983132,122610,428082,154064,119875,257589,263032,495809,135649,660925,72262,568041,226234,132391
2005,Autos,193054,876467,209972,55963,385739,76573,156903,630939,2528281,160917,456003,391806,324236,1148872,1200966,479194,196202,107192,990912,141988,454878,167656,139989,289694,280585,373559,151746,677258,72810,608707,226935,144384
2006,Autos,216818,950752,243597,92739,385074,89497,170280,723373,2878442,192145,532305,324738,372977,1266511,1736969,554682,176762,122164,1115206,133016,524913,188614,189823,333100,360487,455589,175575,741468,107033,685400,223134,148630
2007,Autos,237740,1011668,260043,100366,394773,96774,244370,724024,3176288,207473,585995,334867,418505,1383889,1779044,602507,211480,130338,1221716,147987,592917,212225,219112,379634,410983,511008,193512,592021,155118,743489,245544,171213
2008,Autos,251287,1066911,281523,106098,428656,105122,267353,753590,3640886,216039,649260,353447,451233,1508483,2071341,691175,243168,144394,1269676,156180,650954,256670,242986,408294,451885,537532,213457,592824,161862,783006,267835,197815
2009,Autos,261876,1085329,300870,90701,417651,109734,284725,787052,3824532,245915,678548,408177,461001,1554138,2303728,727833,246864,152031,1327025,176290,695365,278785,257984,426905,473569,559455,229935,617613,171139,843590,310670,210194
2010,Autos,274139,666258,315788,101462,434675,114770,302836,814024,4028300,248406,705683,448103,479309,1615356,2468657,799587,272585,161296,1389831,189008,727577,304062,273227,443369,488106,583640,243218,647183,175322,896684,323247,217065
2011,Autos,283498,687576,331599,100653,409306,123102,318621,805249,4252089,259626,740739,489950,492054,1680336,2883263,837927,299144,170965,1470592,201582,776587,315052,287538,460831,520667,564793,248693,674282,185412,950173,340850,211577
2012,Autos,290203,764682,266525,112303,433047,141301,341852,840569,4455914,284695,781847,546327,506177,1701489,3281852,883092,318071,177715,1545344,209305,819890,343221,306729,476508,557457,482464,268481,695142,200574,976978,359617,200252
2013,Autos,299134,808231,273443,123771,444532,137950,349992,915603,4593710,298890,829886,606914,526824,1721050,3630343,962101,346541,184550,1634474,214609,833731,342257,326012,497144,594879,499714,285104,724312,219876,1023012,377291,194042
2014,Autos,307473,832655,285320,136057,444884,145497,372059,983916,4421797,322016,885201,674866,544707,1814989,4007600,1051939,377111,190522,1314279,222755,825725,399203,350794,516038,633945,536559,302744,750807,257869,1052699,396319,185563
2015,Autos,323590,851836,287697,134163,452552,153394,383007,1033163,4626870,342637,962028,722217,572882,1908689,4529886,995436,386611,193253,1377434,227514,863859,353958,378551,545248,660736,547313,323750,771535,297170,1088227,417382,195406
2016,Autos,342003,892245,305197,144234,493857,161833,409470,1139419,4806901,371587,1033519,761817,595124,2012979,5006653,1034859,428372,198704,1488363,231449,900498,351523,410125,579965,674466,628751,336385,793125,327139,1138280,450075,215378
2017,Autos,357999,1276600,330488,153443,568805,170049,432260,1076600,5008454,426017,1093291,789990,467807,2115230,5490768,1257793,512169,211116,1593335,237835,952504,485581,455123,616522,696242,708637,348021,809583,460222,1152039,475917,227602
2018,Autos,380032,1329401,328437,160974,549332,177238,454802,1129300,5278405,402293,1116211,821776,428937,2222924,5530839,1322689,592631,221142,1706431,289641,993387,493700,478645,647601,707923,882404,361740,822919,460990,1253173,508165,235985
2019,Autos,401695,1364255,343161,152815,589567,183962,474602,1186328,5492819,392660,1162593,856131,426374,2312592,6101378,1361721,663490,233800,1790390,311862,754080,534687,501921,669720,750101,966382,370699,850343,348405,1268166,540013,246879
2020,Autos,417207,1431596,354463,156704,609721,188917,501444,1226483,5531376,385654,1184343,895152,416381,2369351,6347586,1256743,725857,245877,1855704,339995,774265,531800,513939,688323,774018,993317,378060,868554,373026,1276105,555420,258314
2021,Autos,429565,1457452,372026,163959,629839,194975,534969,1270537,5571627,391459,1215253,946349,437444,2454890,6590512,1310625,799547,261497,1920041,388079,792996,546537,534424,705932,798845,948913,391534,890494,389087,1279459,572310,269628
1980,TP,439,857,152,295,1148,704,998,2961,14487,702,1346,1378,2225,4402,5463,2424,1304,308,2578,1276,2816,430,102,675,1958,1596,1401,1228,801,2599,778,557
1981,TP,498,973,165,332,1251,825,1046,3612,15047,738,1454,1355,2520,4807,6049,2657,1316,315,2831,1456,2918,443,103,703,2079,1735,1378,1281,838,2865,821,562
1982,TP,553,973,237,364,1810,996,1025,4123,15121,831,1617,1517,2735,5043,6154,2709,1371,338,3097,1873,2960,464,110,723,2169,1835,1435,1748,830,3000,877,595
1983,TP,634,1134,333,413,1842,1009,1059,4664,13072,962,1776,1722,2712,5348,6534,3080,1384,353,3436,1967,3388,489,114,746,2212,1957,1587,1779,966,3161,863,630
